Pixel_ID,Row,Col,Area,B1(Coastal Aerosol),B2(Blue),B3(Green),B4(Red),B5(NIR),B6(SWIR1),B7(SWIR2),B8(NDVI),B9(MNDWI),B10(NDWI),B11(EVI),B12(SABI),B13(GNDVI),B14(NDAVI),B15(AWEI),B16(BATHYMETRY),Label,Kategori_Detail,Kategori,Prediksi_Kelas,Prediksi_Label,Confidence_Lamun,Confidence_NonLamun,Confidence_Max
21,0,20,Lainnya,0.0643299967050552,0.0754399970173835,0.1252699941396713,0.139844998717308,0.3807174861431122,0.2879599928855896,0.1623124927282333,0.4393164217472076,-0.4083118438720703,-0.4826359748840332,0.3414239585399627,1086448311805720.0,0.4826359748840332,0.6526963114738464,-1.05111372470855e+16,0.6304212212562561,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.195,0.805,0.805
22,0,21,Lainnya,0.0799362510442733,0.097412496805191,0.1335474997758865,0.1538700014352798,0.3898200094699859,0.2790362536907196,0.164608746767044,0.4295737743377685,-0.3262993991374969,-0.4783974289894104,0.3471840023994446,1031360149383540.0,0.4783974289894104,0.6107484102249146,-1.0266318321228e+16,0.7149224877357483,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.045,0.955,0.955
23,0,22,Lainnya,0.0870724990963935,0.1047274991869926,0.1542274951934814,0.1610749959945678,0.4523825049400329,0.2751725018024444,0.1361874938011169,0.4724854528903961,-0.2985075414180755,-0.4882716834545135,0.4265868067741394,114751136302948.0,0.4882716834545135,0.6218876242637634,-0.9922981262207032,0.6991190314292908,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.06,0.94,0.94
24,0,23,Lainnya,0.0969175025820732,0.126067504286766,0.1850824952125549,0.1952300071716308,0.4226549863815307,0.2486625015735626,0.1247474998235702,0.3680700957775116,-0.158888891339302,-0.3964228630065918,0.3384424149990082,0.7379850745201111,0.3964228630065918,0.5630602240562439,-0.7575650215148926,0.6799941062927246,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.09,0.91,0.91
25,0,24,Lainnya,0.0951574966311454,0.1190962493419647,0.1815762519836425,0.1837075054645538,0.3631312549114227,0.1896200031042099,0.0916099995374679,0.3257954120635986,-0.0584939867258071,-0.3662485480308532,0.2811912000179291,0.6501704454421997,0.3662485480308532,0.5151941180229187,-0.4270803034305572,0.6954343914985657,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.07,0.93,0.93
26,0,25,Lainnya,0.1067762523889541,0.1307699978351593,0.1835012435913086,0.1863337457180023,0.2621375024318695,0.1292024999856948,0.0663100033998489,0.2030651718378067,0.1959871500730514,-0.1471249908208847,0.1744735985994339,0.2975195646286011,0.1471249908208847,0.303226113319397,-0.0423724986612796,0.7112768292427063,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.175,0.825,0.825
27,0,26,Lainnya,0.1357749998569488,0.1632887572050094,0.2315162569284439,0.2095025032758712,0.2886887490749359,0.121969997882843,0.0599987506866455,0.1587890684604644,0.2850442826747894,-0.1310358345508575,0.1421888619661331,0.2162854820489883,0.1310358345508575,0.2851937413215637,0.1142296865582466,0.7024469375610352,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.25,0.75,0.75
28,0,27,Lainnya,0.1390749961137771,0.1762274950742721,0.2290412485599517,0.2105199992656707,0.2270337492227554,0.1046037524938583,0.0579500012099742,-0.0053710751235485,0.4159998297691345,0.0568176321685314,0.0119669968262314,0.0265892650932073,-0.0568176321685314,0.0702430605888366,0.2816290557384491,0.7649860382080078,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.155,0.845,0.845
29,0,28,Lainnya,0.1257099956274032,0.1662449985742569,0.2199250012636184,0.1734499931335449,0.123317502439022,0.0727312490344047,0.0408174991607666,-0.1721336543560028,0.5062742829322815,0.2850679755210876,-0.1351425647735595,-0.1287936568260193,-0.2850679755210876,-0.1528230905532837,0.4456974864006042,0.7524648308753967,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.275,0.725,0.725
30,0,29,Lainnya,0.1194949969649314,0.1529625058174133,0.2069724947214126,0.1756774932146072,0.169682502746582,0.0778324976563453,0.0483799986541271,0.0188234578818082,0.4501412808895111,0.0949059873819351,0.015629069879651,0.0174539983272552,-0.0949059873819351,0.0518216602504253,0.3342743813991546,0.7415734529495239,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.215,0.785,0.785
31,0,30,Lainnya,0.1057175025343895,0.1332037448883056,0.1940337568521499,0.1654612571001052,0.2421724945306778,0.1086599975824356,0.0540862493216991,0.1538299173116684,0.3356397449970245,-0.0693909972906112,0.1392355859279632,0.2295865267515182,0.0693909972906112,0.2494871318340301,0.132214680314064,0.6836302280426025,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.42,0.58,0.58
32,0,31,Lainnya,0.1185325011610984,0.1536500006914138,0.2105062454938888,0.2040850073099136,0.2901049852371216,0.1261362433433532,0.061208751052618,0.1464964151382446,0.3204814195632934,-0.1222363784909248,0.1381979137659073,0.221769317984581,0.1222363784909248,0.2672594487667084,0.096629686653614,0.7293208837509155,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.29,0.71,0.71
33,0,32,Lainnya,0.133382499217987,0.1706175059080124,0.2170100063085556,0.2194849997758865,0.2709512412548065,0.1227812469005584,0.0573999993503093,0.0418364778161048,0.332274466753006,-0.0386315360665321,0.0594138614833354,0.1076308116316795,0.0386315360665321,0.147703543305397,0.1513271927833557,0.7888551354408264,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.21,0.79,0.79
34,0,33,Lainnya,0.1035175025463104,0.1291474997997284,0.1691599935293197,0.1384149938821792,0.1748799979686737,0.082067497074604,0.0448325015604496,0.2132261395454406,0.1963271647691726,-0.2285095453262329,0.1229115203022956,0.3199731707572937,0.2285095453262329,0.3627147376537323,0.0170687492936849,0.6969389915466309,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.34,0.66,0.66
35,0,34,Lainnya,0.0867837518453598,0.1094850003719329,0.1436675041913986,0.1213512495160102,0.2031912505626678,0.0909362509846687,0.049150001257658,0.3120611011981964,0.080314353108406,-0.3073797225952148,0.1844860166311264,0.5492798089981079,0.3073797225952148,0.4537811279296875,-0.1261065602302551,0.6710243225097656,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.17,0.83,0.83
36,0,35,Lainnya,0.0624325014650821,0.0804174989461898,0.1085224971175193,0.1062674969434738,0.2743200063705444,0.1208425015211105,0.063230000436306,0.4415607452392578,-0.0621182173490524,-0.3981262147426605,0.2726973295211792,0.8656412363052368,0.3981262147426605,0.554783821105957,-0.2990024983882904,0.6729216575622559,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.175,0.825,0.825
37,0,36,Lainnya,0.0320999994874,0.0402675010263919,0.0628174990415573,0.0565200001001358,0.2872174978256225,0.1345925033092498,0.0639450028538703,0.6500839591026306,-0.3314980566501617,-0.6115819215774536,0.3435198068618774,1.97656428813934e+16,0.6115819215774536,0.7382909059524536,-0.534753143787384,0.5653678774833679,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.27,0.73,0.73
38,0,37,Lainnya,0.0182399991899728,0.0278374999761581,0.0535225011408329,0.0399099998176097,0.344444990158081,0.1509000062942505,0.0701325014233589,0.79001784324646,-0.4635179042816162,-0.7297852635383606,0.4979427456855774,3820002317428580.0,0.7297852635383606,0.862418532371521,-0.680544376373291,0.4721504151821136,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.32,0.68,0.68
39,1,0,Lainnya,0.0140599999576807,0.0204674992710351,0.0541824996471405,0.0357025004923343,0.3706524968147278,0.1520825028419494,0.0646049976348877,0.8224378228187561,-0.4823682010173797,-0.7319024205207825,0.6066386699676514,4230600833892820.0,0.7319024205207825,0.8957495093345642,-0.6496343612670898,0.3569502234458923,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.37,0.63,0.63
40,1,1,Lainnya,0.0149400001391768,0.0221724994480609,0.0560799986124038,0.0429349988698959,0.366857498884201,0.1617899984121322,0.0707375034689903,0.8094096779823303,-0.4865298867225647,-0.7229645848274231,0.5906544923782349,4064164638519280.0,0.7229645848274231,0.8893502354621887,-0.6982543468475342,0.3764015436172485,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.37,0.63,0.63
41,1,2,Lainnya,0.016397500410676,0.0220075007528066,0.0572899989783763,0.0432649999856948,0.3655099868774414,0.1582974940538406,0.0681250020861625,0.7913713455200195,-0.4840448498725891,-0.7090766429901123,0.5842360854148865,3.75708794593811e+16,0.7090766429901123,0.8824824690818787,-0.6767975091934204,0.3775518834590912,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.37,0.63,0.63
42,1,3,Lainnya,0.0154074998572468,0.0223099999129772,0.0628449991345405,0.0426737517118454,0.3676412403583526,0.1839687526226043,0.0807612463831901,0.8026705384254456,-0.4908235371112823,-0.7172003388404846,0.5782772898674011,3.89469242095947e+16,0.7172003388404846,0.8841100335121155,-0.8205365538597107,0.3677271604537964,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.36,0.64,0.64
43,1,4,Lainnya,0.0174562502652406,0.0251150000840425,0.0591737516224384,0.0464549995958805,0.3535612523555755,0.1876812428236007,0.0825487524271011,0.7525625228881836,-0.5233375430107117,-0.6878886818885803,0.5234636068344116,3243624687194820.0,0.6878886818885803,0.8563389778137207,-0.8581703305244446,0.4120493531227112,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.355,0.645,0.645
44,1,5,Lainnya,0.0203575007617473,0.028923749923706,0.0622675009071826,0.054952498525381,0.3431662619113922,0.2026137560606002,0.0973162502050399,0.7225551605224609,-0.5448043346405029,-0.681263267993927,0.4944178462028503,3.0370442867279e+16,0.681263267993927,0.8410676121711731,-0.918505311012268,0.4311341643333435,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.33,0.67,0.67
45,1,6,Lainnya,0.0323887504637241,0.0472112484276294,0.0865637511014938,0.0840200036764144,0.3453249931335449,0.2369337528944015,0.1322412490844726,0.6086254715919495,-0.5287071466445923,-0.6124643087387085,0.4291481673717499,2029738664627070.0,0.6124643087387085,0.7618924975395203,-1.06290090084075e+16,0.5262103080749512,0,Tidak_Teridentifikasi,Non_Lamun,0,Non_Lamun,0.235,0.765,0.765
