Pixel_ID;Row;Col;Label;Kategori;B1(Coastal Aerosol);B2(Blue);B3(Green);B4(Red);B5(NIR);B6(SWIR1);B7(SWIR2);B8(NDVI);B9(MNDWI);B10(NDWI);B11(EVI);B12(SABI);B13(GNDVI);B14(NDAVI);B15(AWEI);B16(BATHYMETRY)
357;9;14;0;Tidak Teridentifikasi;0.0018324999837204814;0.012681250460445881;0.04120250046253204;0.02240625023841858;0.004104999825358391;0.014115000143647194;0.01267124991863966;-0.4265691041946411;0.3879559636116028;0.717982828617096;-0.04363030940294266;-0.1939249038696289;-0.717982828617096;0.08825379610061646;0.0724778100848198;0.19297344982624054
358;9;15;0;Tidak Teridentifikasi;0.006277500186115503;0.027204999700188637;0.07269000262022018;0.04123000055551529;0.011254999786615372;0.015462500043213367;0.014417500235140324;-0.541829526424408;0.3683145344257355;0.6762803792953491;-0.07105791568756104;-0.2970910370349884;-0.6762803792953491;-0.3201198875904083;0.07807062566280365;0.36918169260025024
359;9;16;0;Tidak Teridentifikasi;0.008312500081956387;0.031220000237226486;0.07587999850511551;0.042137499898672104;0.0;0.010952499695122242;0.012712500058114529;-1.0;0.739055335521698;1.0;-0.08752948045730591;-0.3367966115474701;-1.0;-1.0;0.2132006287574768;0.40608739852905273
360;9;17;0;Tidak Teridentifikasi;0.012492500245571136;0.03259500116109848;0.06952749937772751;0.03240250051021576;0.0;0.009165000170469284;0.010952499695122242;-1.0;0.7539101839065552;1.0;-0.07213486731052399;-0.31421366333961487;-1.0;-1.0;0.2113306224346161;0.4621601402759552
361;9;18;0;Tidak Teridentifikasi;0.007157499901950359;0.026366250589489937;0.059888750314712524;0.022612499073147774;0.007470000069588423;0.014321249909698963;0.013345000334084034;-0.49652931094169617;0.5838447213172913;0.7714023590087891;-0.028377629816532135;-0.11743437498807907;-0.7714023590087891;-0.5221438407897949;0.12230875343084335;0.43274882435798645
362;9;19;0;Tidak Teridentifikasi;0.008821249939501286;0.02413875050842762;0.05196874961256981;0.012959999963641167;0.004458750132471323;0.015696249902248383;0.014554999768733978;-0.4076198935508728;0.409857839345932;0.7647718191146851;-0.005927579011768103;0.025456907227635384;-0.7647718191146851;-0.40611782670021057;0.05686906352639198;0.4555169939994812
363;9;20;0;Tidak Teridentifikasi;0.01597125083208084;0.032471250742673874;0.0541824996471405;0.008312500081956387;0.004293750040233135;0.016466250643134117;0.015407499857246876;-0.3485122621059418;0.3196287453174591;0.7133917212486267;-0.001300218515098095;0.11850698292255402;-0.7133917212486267;-0.3893173933029175;0.038615938276052475;0.5871310234069824
364;9;21;0;Tidak Teridentifikasi;0.011543749831616879;0.027370000258088112;0.04198624938726425;0.0021800000686198473;0.002922500018030405;0.016837500035762787;0.01573750004172325;-0.0006438601994886994;0.13263632357120514;0.5819228291511536;0.004200856201350689;0.19789181649684906;-0.5819228291511536;-0.3195360600948334;-0.014198750257492065;0.5695924758911133
365;9;22;0;Tidak Teridentifikasi;0.011708750389516354;0.024454999715089798;0.03232000023126602;0.0003337500093039125;0.0016024999786168337;0.01624624989926815;0.01521500013768673;0.722741425037384;0.07763206958770752;0.37470853328704834;0.0037066529039293528;0.24195034801959991;-0.37470853328704834;-0.2392873615026474;-0.04599343612790108;0.6108222603797913
366;9;23;0;Tidak Teridentifikasi;0.011351250112056732;0.02092125080525875;0.024166250601410866;0.0;0.0014100000262260437;0.01634250022470951;0.015201250091195107;0.6974759101867676;0.04444565623998642;0.4356687366962433;0.004198675975203514;0.030210530385375023;-0.4356687366962433;-0.4311912953853607;-0.06125843897461891;0.7568284273147583
367;9;24;0;Tidak Teridentifikasi;0.007198750041425228;0.01998624950647354;0.01918875053524971;0.0;0.0019325000466778874;0.016603749245405197;0.015256250277161598;1.0;0.025230638682842255;0.2888450026512146;0.0056663332507014275;0.3242708742618561;-0.2888450026512146;-0.26636865735054016;-0.07262375205755234;0.9051028490066528
368;9;25;0;Tidak Teridentifikasi;0.005975000094622374;0.016975000500679016;0.01614999957382679;0.0;0.0034312501084059477;0.014623750001192093;0.014128750190138817;1.0;0.05165844410657883;0.5027860403060913;0.01026974804699421;0.1552758514881134;-0.5027860403060913;-0.5382508039474487;-0.03341437503695488;0.9832816123962402
369;9;26;0;Tidak Teridentifikasi;0.0037750001065433025;0.01481624972075224;0.013331250287592411;0.0;0.0019187500001862645;0.014348750002682209;0.013413749635219574;1.0;-0.037505436688661575;0.5217121243476868;0.005494438111782074;0.05925745144486427;-0.5217121243476868;-0.5455567240715027;-0.042028751224279404;10284534692764200
